empid,fname,lname,supervisorid,pto,payday,payamount
72,Charlotte,Morris,12,8,2024-11-01,377.34
72,Charlotte,Morris,12,16,2024-11-15,377.34
72,Charlotte,Morris,12,24,2024-11-29,377.34
72,Charlotte,Morris,12,32,2024-12-13,377.34
73,James,Rogers,12,32,2024-10-18,358.47
73,James,Rogers,12,40,2024-11-01,358.47
73,James,Rogers,12,48,2024-11-15,358.47
73,James,Rogers,12,56,2024-11-29,358.47
73,James,Rogers,12,64,2024-12-13,358.47
74,Amelia,Reed,12,24,2024-10-18,358.47
74,Amelia,Reed,12,32,2024-11-01,358.47
74,Amelia,Reed,12,40,2024-11-15,358.47
74,Amelia,Reed,12,48,2024-11-29,358.47
74,Amelia,Reed,12,56,2024-12-13,358.47
75,Michael,Cook,12,16,2024-10-18,358.47
75,Michael,Cook,12,24,2024-11-01,358.47
75,Michael,Cook,12,32,2024-11-15,358.47
75,Michael,Cook,12,40,2024-11-29,358.47
75,Michael,Cook,12,48,2024-12-13,358.47
76,Olivia,Morgan,12,8,2024-10-18,358.47
76,Olivia,Morgan,12,16,2024-11-01,358.47
76,Olivia,Morgan,12,24,2024-11-15,358.47
76,Olivia,Morgan,12,32,2024-11-29,358.47
76,Olivia,Morgan,12,40,2024-12-13,358.47
39,Brandon,Martinez,12,40,2024-12-13,513.34
40,Jessica,Garcia,12,16,2024-10-18,513.34
40,Jessica,Garcia,12,24,2024-11-01,513.34
40,Jessica,Garcia,12,32,2024-11-15,513.34
40,Jessica,Garcia,12,40,2024-11-29,513.34
40,Jessica,Garcia,12,48,2024-12-13,513.34
41,Kevin,Robinson,12,8,2024-10-18,513.34
41,Kevin,Robinson,12,16,2024-11-01,513.34
41,Kevin,Robinson,12,24,2024-11-15,513.34
41,Kevin,Robinson,12,32,2024-11-29,513.34
41,Kevin,Robinson,12,40,2024-12-13,513.34
42,Laura,Clark,12,0,2024-10-18,513.34
42,Laura,Clark,12,8,2024-11-01,513.34
42,Laura,Clark,12,16,2024-11-15,513.34
42,Laura,Clark,12,24,2024-11-29,513.34
42,Laura,Clark,12,32,2024-12-13,513.34
43,Daniel,Rodriguez,12,32,2024-10-18,487.67
43,Daniel,Rodriguez,12,40,2024-11-01,487.67
43,Daniel,Rodriguez,12,48,2024-11-15,487.67
43,Daniel,Rodriguez,12,56,2024-11-29,487.67
43,Daniel,Rodriguez,12,64,2024-12-13,487.67
44,Emily,Lewis,12,24,2024-10-18,487.67
44,Emily,Lewis,12,32,2024-11-01,487.67
44,Emily,Lewis,12,40,2024-11-15,487.67
44,Emily,Lewis,12,48,2024-11-29,487.67
44,Emily,Lewis,12,56,2024-12-13,487.67
45,James,Walker,12,16,2024-10-18,487.67
45,James,Walker,12,24,2024-11-01,487.67
45,James,Walker,12,32,2024-11-15,487.67
45,James,Walker,12,40,2024-11-29,487.67
45,James,Walker,12,48,2024-12-13,487.67
46,Olivia,Hall,12,8,2024-10-18,487.67
46,Olivia,Hall,12,16,2024-11-01,487.67
46,Olivia,Hall,12,24,2024-11-15,487.67
46,Olivia,Hall,12,32,2024-11-29,487.67
46,Olivia,Hall,12,40,2024-12-13,487.67
47,Matthew,Allen,12,0,2024-10-18,487.67
47,Matthew,Allen,12,8,2024-11-01,487.67
47,Matthew,Allen,12,16,2024-11-15,487.67
47,Matthew,Allen,12,24,2024-11-29,487.67
47,Matthew,Allen,12,32,2024-12-13,487.67
48,Isabella,Young,12,32,2024-10-18,463.29
48,Isabella,Young,12,40,2024-11-01,463.29
48,Isabella,Young,12,48,2024-11-15,463.29
48,Isabella,Young,12,56,2024-11-29,463.29
48,Isabella,Young,12,64,2024-12-13,463.29
49,David,Hernandez,12,24,2024-10-18,463.29
49,David,Hernandez,12,32,2024-11-01,463.29
49,David,Hernandez,12,40,2024-11-15,463.29
49,David,Hernandez,12,48,2024-11-29,463.29
49,David,Hernandez,12,56,2024-12-13,463.29
50,Sophia,King,12,16,2024-10-18,463.29
50,Sophia,King,12,24,2024-11-01,463.29
50,Sophia,King,12,32,2024-11-15,463.29
50,Sophia,King,12,40,2024-11-29,463.29
50,Sophia,King,12,48,2024-12-13,463.29
51,Christopher,Wright,12,8,2024-10-18,463.29
51,Christopher,Wright,12,16,2024-11-01,463.29
51,Christopher,Wright,12,24,2024-11-15,463.29
51,Christopher,Wright,12,32,2024-11-29,463.29
51,Christopher,Wright,12,40,2024-12-13,463.29
52,Amelia,Lopez,12,0,2024-10-18,463.29
52,Amelia,Lopez,12,8,2024-11-01,463.29
52,Amelia,Lopez,12,16,2024-11-15,463.29
52,Amelia,Lopez,12,24,2024-11-29,463.29
52,Amelia,Lopez,12,32,2024-12-13,463.29
53,Joshua,Hill,12,32,2024-10-18,440.12
53,Joshua,Hill,12,40,2024-11-01,440.12
53,Joshua,Hill,12,48,2024-11-15,440.12
53,Joshua,Hill,12,56,2024-11-29,440.12
53,Joshua,Hill,12,64,2024-12-13,440.12
54,Abigail,Scott,12,24,2024-10-18,440.12
54,Abigail,Scott,12,32,2024-11-01,440.12
54,Abigail,Scott,12,40,2024-11-15,440.12
54,Abigail,Scott,12,48,2024-11-29,440.12
54,Abigail,Scott,12,56,2024-12-13,440.12
55,Andrew,Green,12,16,2024-10-18,440.12
55,Andrew,Green,12,24,2024-11-01,440.12
55,Andrew,Green,12,32,2024-11-15,440.12
55,Andrew,Green,12,40,2024-11-29,440.12
55,Andrew,Green,12,48,2024-12-13,440.12
56,Charlotte,Adams,12,8,2024-10-18,440.12
56,Charlotte,Adams,12,16,2024-11-01,440.12
56,Charlotte,Adams,12,24,2024-11-15,440.12
56,Charlotte,Adams,12,32,2024-11-29,440.12
56,Charlotte,Adams,12,40,2024-12-13,440.12
57,Joseph,Baker,12,0,2024-10-18,440.12
57,Joseph,Baker,12,8,2024-11-01,440.12
57,Joseph,Baker,12,16,2024-11-15,440.12
57,Joseph,Baker,12,24,2024-11-29,440.12
57,Joseph,Baker,12,32,2024-12-13,440.12
58,Grace,Nelson,12,32,2024-10-18,418.11
58,Grace,Nelson,12,40,2024-11-01,418.11
58,Grace,Nelson,12,48,2024-11-15,418.11
58,Grace,Nelson,12,56,2024-11-29,418.11
58,Grace,Nelson,12,64,2024-12-13,418.11
59,Daniel,Carter,12,24,2024-10-18,418.11
59,Daniel,Carter,12,32,2024-11-01,418.11
59,Daniel,Carter,12,40,2024-11-15,418.11
59,Daniel,Carter,12,48,2024-11-29,418.11
59,Daniel,Carter,12,56,2024-12-13,418.11
60,Elizabeth,Mitchell,12,16,2024-10-18,418.11
60,Elizabeth,Mitchell,12,24,2024-11-01,418.11
60,Elizabeth,Mitchell,12,32,2024-11-15,418.11
60,Elizabeth,Mitchell,12,40,2024-11-29,418.11
60,Elizabeth,Mitchell,12,48,2024-12-13,418.11
61,James,Perez,12,8,2024-10-18,418.11
61,James,Perez,12,16,2024-11-01,418.11
61,James,Perez,12,24,2024-11-15,418.11
61,James,Perez,12,32,2024-11-29,418.11
61,James,Perez,12,40,2024-12-13,418.11
62,Victoria,Roberts,12,0,2024-10-18,418.11
62,Victoria,Roberts,12,8,2024-11-01,418.11
62,Victoria,Roberts,12,16,2024-11-15,418.11
62,Victoria,Roberts,12,24,2024-11-29,418.11
62,Victoria,Roberts,12,32,2024-12-13,418.11
63,John,Turner,12,32,2024-10-18,397.20
63,John,Turner,12,40,2024-11-01,397.20
63,John,Turner,12,48,2024-11-15,397.20
63,John,Turner,12,56,2024-11-29,397.20
63,John,Turner,12,64,2024-12-13,397.20
64,Emma,Phillips,12,24,2024-10-18,397.20
64,Emma,Phillips,12,32,2024-11-01,397.20
64,Emma,Phillips,12,40,2024-11-15,397.20
64,Emma,Phillips,12,48,2024-11-29,397.20
64,Emma,Phillips,12,56,2024-12-13,397.20
65,Michael,Campbell,12,16,2024-10-18,397.20
65,Michael,Campbell,12,24,2024-11-01,397.20
65,Michael,Campbell,12,32,2024-11-15,397.20
65,Michael,Campbell,12,40,2024-11-29,397.20
65,Michael,Campbell,12,48,2024-12-13,397.20
66,Olivia,Parker,12,8,2024-10-18,397.20
66,Olivia,Parker,12,16,2024-11-01,397.20
66,Olivia,Parker,12,24,2024-11-15,397.20
66,Olivia,Parker,12,32,2024-11-29,397.20
66,Olivia,Parker,12,40,2024-12-13,397.20
67,William,Evans,12,0,2024-10-18,397.20
67,William,Evans,12,8,2024-11-01,397.20
67,William,Evans,12,16,2024-11-15,397.20
67,William,Evans,12,24,2024-11-29,397.20
67,William,Evans,12,32,2024-12-13,397.20
68,Isabella,Edwards,12,32,2024-10-18,377.34
68,Isabella,Edwards,12,40,2024-11-01,377.34
68,Isabella,Edwards,12,48,2024-11-15,377.34
68,Isabella,Edwards,12,56,2024-11-29,377.34
68,Isabella,Edwards,12,64,2024-12-13,377.34
69,Alexander,Collins,12,24,2024-10-18,377.34
69,Alexander,Collins,12,32,2024-11-01,377.34
69,Alexander,Collins,12,40,2024-11-15,377.34
69,Alexander,Collins,12,48,2024-11-29,377.34
69,Alexander,Collins,12,56,2024-12-13,377.34
70,Emily,Stewart,12,16,2024-10-18,377.34
70,Emily,Stewart,12,24,2024-11-01,377.34
70,Emily,Stewart,12,32,2024-11-15,377.34
70,Emily,Stewart,12,40,2024-11-29,377.34
70,Emily,Stewart,12,48,2024-12-13,377.34
71,Daniel,Sanchez,12,8,2024-10-18,377.34
71,Daniel,Sanchez,12,16,2024-11-01,377.34
71,Daniel,Sanchez,12,24,2024-11-15,377.34
71,Daniel,Sanchez,12,32,2024-11-29,377.34
71,Daniel,Sanchez,12,40,2024-12-13,377.34
72,Charlotte,Morris,12,0,2024-10-18,377.34
72,Charlotte,Morris,12,8,2024-11-01,377.34
72,Charlotte,Morris,12,16,2024-11-15,377.34
72,Charlotte,Morris,12,24,2024-11-29,377.34
72,Charlotte,Morris,12,32,2024-12-13,377.34
73,James,Rogers,12,32,2024-10-18,358.47
73,James,Rogers,12,40,2024-11-01,358.47
73,James,Rogers,12,48,2024-11-15,358.47
73,James,Rogers,12,56,2024-11-29,358.47
73,James,Rogers,12,64,2024-12-13,358.47
74,Amelia,Reed,12,24,2024-10-18,358.47
74,Amelia,Reed,12,32,2024-11-01,358.47
74,Amelia,Reed,12,40,2024-11-15,358.47
74,Amelia,Reed,12,48,2024-11-29,358.47
74,Amelia,Reed,12,56,2024-12-13,358.47
75,Michael,Cook,12,16,2024-10-18,358.47
75,Michael,Cook,12,24,2024-11-01,358.47
75,Michael,Cook,12,32,2024-11-15,358.47
75,Michael,Cook,12,40,2024-11-29,358.47
75,Michael,Cook,12,48,2024-12-13,358.47
76,Olivia,Morgan,12,8,2024-10-18,358.47
76,Olivia,Morgan,12,16,2024-11-01,358.47
76,Olivia,Morgan,12,24,2024-11-15,358.47
76,Olivia,Morgan,12,32,2024-11-29,358.47
76,Olivia,Morgan,12,40,2024-12-13,358.47
77,William,King,12,0,2024-10-18,340.55
77,William,King,12,8,2024-11-01,340.55
77,William,King,12,16,2024-11-15,340.55
77,William,King,12,24,2024-11-29,340.55
77,William,King,12,32,2024-12-13,340.55
78,Emma,Scott,12,16,2024-10-18,340.55
78,Emma,Scott,12,24,2024-11-01,340.55
78,Emma,Scott,12,32,2024-11-15,340.55
78,Emma,Scott,12,40,2024-11-29,340.55
78,Emma,Scott,12,48,2024-12-13,340.55
79,James,Green,12,8,2024-10-18,340.55
79,James,Green,12,16,2024-11-01,340.55
79,James,Green,12,24,2024-11-15,340.55
79,James,Green,12,32,2024-11-29,340.55
79,James,Green,12,40,2024-12-13,340.55
80,Charlotte,Adams,12,0,2024-10-18,340.55
80,Charlotte,Adams,12,8,2024-11-01,340.55
80,Charlotte,Adams,12,16,2024-11-15,340.55
80,Charlotte,Adams,12,24,2024-11-29,340.55
80,Charlotte,Adams,12,32,2024-12-13,340.55
81,Michael,Baker,12,32,2024-10-18,323.52
81,Michael,Baker,12,40,2024-11-01,323.52
81,Michael,Baker,12,48,2024-11-15,323.52
81,Michael,Baker,12,56,2024-11-29,323.52
81,Michael,Baker,12,64,2024-12-13,323.52
82,Amelia,Mitchell,12,24,2024-10-18,323.52
82,Amelia,Mitchell,12,32,2024-11-01,323.52
82,Amelia,Mitchell,12,40,2024-11-15,323.52
82,Amelia,Mitchell,12,48,2024-11-29,323.52
82,Amelia,Mitchell,12,56,2024-12-13,323.52
83,Daniel,Roberts,12,16,2024-10-18,323.52
83,Daniel,Roberts,12,24,2024-11-01,323.52
83,Daniel,Roberts,12,32,2024-11-15,323.52
83,Daniel,Roberts,12,40,2024-11-29,323.52
83,Daniel,Roberts,12,48,2024-12-13,323.52
84,Olivia,Turner,12,8,2024-10-18,323.52
84,Olivia,Turner,12,16,2024-11-01,323.52
84,Olivia,Turner,12,24,2024-11-15,323.52
84,Olivia,Turner,12,32,2024-11-29,323.52
84,Olivia,Turner,12,40,2024-12-13,323.52
85,William,Phillips,12,0,2024-10-18,323.52
85,William,Phillips,12,8,2024-11-01,323.52
85,William,Phillips,12,16,2024-11-15,323.52
85,William,Phillips,12,24,2024-11-29,323.52
85,William,Phillips,12,32,2024-12-13,323.52
86,Emma,Campbell,12,32,2024-10-18,307.34
86,Emma,Campbell,12,40,2024-11-01,307.34
86,Emma,Campbell,12,48,2024-11-15,307.34
86,Emma,Campbell,12,56,2024-11-29,307.34
86,Emma,Campbell,12,64,2024-12-13,307.34
87,James,Parker,12,24,2024-10-18,307.34
87,James,Parker,12,32,2024-11-01,307.34
87,James,Parker,12,40,2024-11-15,307.34
87,James,Parker,12,48,2024-11-29,307.34
87,James,Parker,12,56,2024-12-13,307.34
88,Charlotte,Evans,12,16,2024-10-18,307.34
88,Charlotte,Evans,12,24,2024-11-01,307.34
88,Charlotte,Evans,12,32,2024-11-15,307.34
88,Charlotte,Evans,12,40,2024-11-29,307.34
88,Charlotte,Evans,12,48,2024-12-13,307.34
89,Michael,Edwards,12,8,2024-10-18,307.34
89,Michael,Edwards,12,16,2024-11-01,307.34
89,Michael,Edwards,12,24,2024-11-15,307.34
89,Michael,Edwards,12,32,2024-11-29,307.34
89,Michael,Edwards,12,40,2024-12-13,307.34
90,Amelia,Collins,12,0,2024-10-18,307.34
90,Amelia,Collins,12,8,2024-11-01,307.34
90,Amelia,Collins,12,16,2024-11-15,307.34
90,Amelia,Collins,12,24,2024-11-29,307.34
90,Amelia,Collins,12,32,2024-12-13,307.34
91,Daniel,Stewart,12,32,2024-10-18,291.97
91,Daniel,Stewart,12,40,2024-11-01,291.97
91,Daniel,Stewart,12,48,2024-11-15,291.97
91,Daniel,Stewart,12,56,2024-11-29,291.97
91,Daniel,Stewart,12,64,2024-12-13,291.97
92,Olivia,Sanchez,12,24,2024-10-18,291.97
92,Olivia,Sanchez,12,32,2024-11-01,291.97
92,Olivia,Sanchez,12,40,2024-11-15,291.97
92,Olivia,Sanchez,12,48,2024-11-29,291.97
92,Olivia,Sanchez,12,56,2024-12-13,291.97
93,William,Morris,12,16,2024-10-18,291.97
93,William,Morris,12,24,2024-11-01,291.97
93,William,Morris,12,32,2024-11-15,291.97
93,William,Morris,12,40,2024-11-29,291.97
93,William,Morris,12,48,2024-12-13,291.97
94,Emma,Rogers,12,8,2024-10-18,291.97
94,Emma,Rogers,12,16,2024-11-01,291.97
94,Emma,Rogers,12,24,2024-11-15,291.97
94,Emma,Rogers,12,32,2024-11-29,291.97
94,Emma,Rogers,12,40,2024-12-13,291.97
95,James,Reed,12,0,2024-10-18,291.97
95,James,Reed,12,8,2024-11-01,291.97
95,James,Reed,12,16,2024-11-15,291.97
95,James,Reed,12,24,2024-11-29,291.97
95,James,Reed,12,32,2024-12-13,291.97
96,Charlotte,Cook,12,32,2024-10-18,277.37
96,Charlotte,Cook,12,40,2024-11-01,277.37
96,Charlotte,Cook,12,48,2024-11-15,277.37
96,Charlotte,Cook,12,56,2024-11-29,277.37
96,Charlotte,Cook,12,64,2024-12-13,277.37
97,Michael,Morgan,12,24,2024-10-18,277.37
97,Michael,Morgan,12,32,2024-11-01,277.37
97,Michael,Morgan,12,40,2024-11-15,277.37
97,Michael,Morgan,12,48,2024-11-29,277.37
97,Michael,Morgan,12,56,2024-12-13,277.37
98,Amelia,King,12,16,2024-10-18,277.37
98,Amelia,King,12,24,2024-11-01,277.37
98,Amelia,King,12,32,2024-11-15,277.37
98,Amelia,King,12,40,2024-11-29,277.37
98,Amelia,King,12,48,2024-12-13,277.37
99,Daniel,Scott,12,8,2024-10-18,277.37
99,Daniel,Scott,12,16,2024-11-01,277.37
99,Daniel,Scott,12,24,2024-11-15,277.37
99,Daniel,Scott,12,32,2024-11-29,277.37
99,Daniel,Scott,12,40,2024-12-13,277.37
100,Olivia,Green,12,0,2024-10-18,277.37
100,Olivia,Green,12,8,2024-11-01,277.37
100,Olivia,Green,12,16,2024-11-15,277.37
100,Olivia,Green,12,24,2024-11-29,277.37
100,Olivia,Green,12,32,2024-12-13,277.37
